gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cxcr6,711.6101845998704,8.795368366095701,1.310275292359789,6.7126110195174,1.9117224751084353e-11,1.9948708863751996e-09
Speer4cos,379.46174232093944,2.9329028381830757,0.4375193887349162,6.703480836960256,2.03512395286536e-11,2.110923180331363e-09
Rcsd1,2635.579855345113,-1.837766701116811,0.2743463953237934,-6.698709122632405,2.1026865813541985e-11,2.1641043643760696e-09
Ets2,3962.2793808688475,-2.6243002096867225,0.39179735956257666,-6.698105910199677,2.111382274446113e-11,2.1641043643760696e-09
Mbd6,516.8879984526583,3.24327660832287,0.48450610006594114,6.693985086836804,2.1717355979534048e-11,2.212870825161699e-09
Dpm3,1453.915343916201,1.963390730894908,0.29362822477966294,6.686655318534946,2.2832879858387883e-11,2.31293067197073e-09
Gm31258,150.69568675577645,3.6135469189199894,0.5417308750589847,6.670372846160079,2.5515436023953533e-11,2.5696417605053666e-09
Gm21917,136.60000981950864,3.711125907192029,0.5570259678977127,6.662392996143955,2.6940445880852716e-11,2.685611941526173e-09
Smc3,2234.034713409548,-1.7748659817940189,0.2664086507731819,-6.662193501010314,2.6977051023297203e-11,2.685611941526173e-09
Ehd4,8243.793734287472,-2.4841138447944884,0.3738930315147607,-6.643915867408777,3.054569754771791e-11,3.023500416694684e-09
Klf4,1783.3347184310715,-3.7035721979106353,0.5592437496983841,-6.622465069852057,3.5325755431800546e-11,3.4767769067593696e-09
Rplp2,8477.218381511722,1.46542761670768,0.22164146143331045,6.61170345670461,3.799224897240737e-11,3.697200767977755e-09
RP23-56M18.6,310.18930840408245,3.9933355158628974,0.6039327062157803,6.612219332986597,3.786004774819667e-11,3.697200767977755e-09
Atf5,302.36086429489575,4.823078259946657,0.7298463160924166,6.608347748837491,3.886329367311836e-11,3.760837838020985e-09
Col14a1,206.93717538812223,-11.625133800030273,1.759952815951957,-6.605366743165922,3.965344536181969e-11,3.815983225319115e-09
Bgn,9368.205678064563,1.6577967711615282,0.25125153172611325,6.598155878980573,4.163034413207992e-11,3.9840929340104335e-09
