gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Dbhos,118.64676966075315,-3.910989739454863,0.5433858473544214,-7.19744498038782,6.135129194750429e-13,1.0844153868517035e-10
Mgst2,3762.454350717761,-4.908303740211378,0.6888626521683641,-7.125228410571089,1.0390822835234013e-12,1.8180791227467026e-10
Gm37931,145.64347812935478,-5.034754917746496,0.7100854986531114,-7.090350284995832,1.3377296639453313e-12,2.3172153238861029e-10
Ndufa7,7143.168590139125,-1.9126684127250249,0.26991927948570194,-7.086075571813098,1.3796848900577317e-12,2.3662278876811913e-10
RP23-56M18.6,310.18930840408245,-4.266255957594192,0.6036007953165391,-7.068009172116632,1.5717216242340671e-12,2.6432390266973316e-10
Peli1,2027.9382656400967,1.5603421992873847,0.22072860433913166,7.069052984587557,1.5599458306759508e-12,2.6432390266973316e-10
Gm10220,338.90007798417184,-3.9555862658259957,0.5607258590773336,-7.054403148688124,1.7334313629094063e-12,2.8871632757996866e-10
Naca,9978.23796847895,-1.266655394412456,0.179900996679454,-7.040847009143431,1.910747161162401e-12,3.152186888157629e-10
Dnajc15,11013.318946492209,-4.035689149818411,0.5733505970373184,-7.038780757658712,1.939292245208298e-12,3.1690962520281257e-10
Esam,5987.71002416506,2.1328273082908757,0.30417849417712783,7.011762334022528,2.353347276888935e-12,3.809783320585994e-10
Vwa1,2387.4404822244073,3.5427469242403617,0.5072141027410298,6.984716917560147,2.8543091788018446e-12,4.5779947773338473e-10
AI413582,1954.4451636786232,-2.0381255731288217,0.29197168460409084,-6.980559008290442,2.9400783877878556e-12,4.672297048923049e-10
Cotl1,2930.179216859847,3.319686423082329,0.47646592852878167,6.9673112479055215,3.2305544014989505e-12,5.068529837718287e-10
Exoc5,2197.75607349593,2.2789599714395474,0.3271286286204576,6.966556186324037,3.2479321786556394e-12,5.068529837718287e-10
Inpp5d,1714.6371218581646,2.2789113365923876,0.3278094443752739,6.951939230840178,3.60298615511314e-12,5.572404123113376e-10
Nr4a3,317.4324008881894,11.139683546375242,1.6038287182203494,6.94568155553177,3.766374970917468e-12,5.722907653178278e-10
Olfml2a,3291.7722137358833,3.394696740788253,0.4887027770913151,6.946342234830286,3.748787209863295e-12,5.722907653178278e-10
P2ry2,183.50188785039435,7.8750209373522875,1.1342446760221958,6.942964868012466,3.8395493366602785e-12,5.783362922576465e-10
Tmem205,4627.965259391052,-2.825604823646094,0.4075072386206074,-6.933876397412306,4.094624486980934e-12,6.114403910645149e-10
Ndufs7,5649.306012697464,-1.4587050277276066,0.21058621110896145,-6.926878165697392,4.302287908895696e-12,6.36959240665737e-10
BC051077,965.8543971023229,-3.4861959485127496,0.504126316977513,-6.915322273620273,4.668009378576786e-12,6.852479530144668e-10
mt-Te,1073.2308800274975,-4.584788166571626,0.6643451120778111,-6.901214569385791,5.155978417893385e-12,7.50519816426464e-10
Chchd10,6012.7167198446305,-1.521511145241192,0.22101103750629117,-6.884321988660324,5.8063409445645685e-12,8.381453153478955e-10
Zfp688,692.9627159358992,-2.1604289496886357,0.3143734649150899,-6.872173356845345,6.3231045692173865e-12,9.05196837586641e-10
Tpt1,25781.791033933627,-1.962487544988001,0.2858545357460437,-6.865336384697063,6.6334754377526874e-12,9.41844766661902e-10
Cox17,4097.036714830731,-2.4160330635606844,0.35423982095274376,-6.820331652897339,9.083057145675046e-12,1.2791602916860418e-09
Bmyc,2506.4874377309197,-1.7341407604462988,0.25439965027899136,-6.8166004101991735,9.322008019470063e-12,1.3022243783327455e-09
4930426D05Rik,303.40892034078564,-6.301780994052143,0.9247821343979243,-6.814341194161251,9.469671539006031e-12,1.3122692031892997e-09
